,Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,0,2019/11/19 23:26:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.7997329502173693,IVP,Failed,0.001,0.231170654296875
1,0,2019/11/19 23:26:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.7628034115944756,IVP,Partially Cooled,0.05305263157894737,0.24954891204833984
2,0,2019/11/19 23:26:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.7323715423509315,IVP,Partially Cooled,0.10510526315789474,0.255291223526001
3,0,2019/11/19 23:26:04,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.7063256774756248,IVP,Partially Cooled,0.1571578947368421,0.26125311851501465
4,0,2019/11/19 23:26:04,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.6834886203282633,IVP,Partially Cooled,0.20921052631578949,0.26781177520751953
5,0,2019/11/19 23:26:04,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.6631340235260041,IVP,Partially Cooled,0.26126315789473686,0.2759277820587158
6,0,2019/11/19 23:26:05,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.6447878804041783,IVP,Partially Cooled,0.3133157894736842,0.27330851554870605
7,0,2019/11/19 23:26:05,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.6281282546844229,IVP,Partially Cooled,0.3653684210526316,0.2820615768432617
8,0,2019/11/19 23:26:05,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.612931612001728,IVP,Partially Cooled,0.41742105263157897,0.2933533191680908
9,0,2019/11/19 23:26:05,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5990396057752423,IVP,Partially Cooled,0.4694736842105263,0.2967209815979004
10,0,2019/11/19 23:26:06,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.58633903001941,IVP,Partially Cooled,0.5215263157894737,0.32165098190307617
11,0,2019/11/19 23:26:06,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5747478063941858,IVP,Cooled,0.5735789473684211,0.33159542083740234
12,0,2019/11/19 23:26:06,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5642049955776018,IVP,Cooled,0.6256315789473684,0.3477795124053955
13,0,2019/11/19 23:26:07,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5546629925862181,IVP,Cooled,0.6776842105263158,0.3620266914367676
14,0,2019/11/19 23:26:07,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5460820763359701,IVP,Cooled,0.7297368421052632,0.38092851638793945
15,0,2019/11/19 23:26:08,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5384253451824521,IVP,Cooled,0.7817894736842106,0.3973081111907959
16,0,2019/11/19 23:26:08,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5316554306314364,IVP,Cooled,0.8338421052631579,0.4123523235321045
17,0,2019/11/19 23:26:08,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5257318426651691,IVP,Cooled,0.8858947368421053,0.4330101013183594
18,0,2019/11/19 23:26:09,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.520608450257497,IVP,Cooled,0.9379473684210526,0.45397067070007324
19,0,2019/11/19 23:26:09,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5162332016701746,IVP,Cooled,0.99,0.47288942337036133
20,0,2019/11/19 23:26:10,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5154735011798016,IVP,Cooled,1.0,0.47794294357299805
21,0,2019/11/19 23:26:10,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5073389363926666,IVP,Cooled,1.1379310344827587,0.5464038848876953
22,0,2019/11/19 23:26:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.5026158932107857,IVP,Cooled,1.2758620689655173,0.6403477191925049
23,0,2019/11/19 23:26:12,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.4997745634774253,IVP,Cooled,1.4137931034482758,0.7517104148864746
24,0,2019/11/19 23:26:13,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.497197357146824,IVP,Cooled,1.5517241379310345,0.8655209541320801
25,0,2019/11/19 23:26:14,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.49327981685166955,IVP,Cooled,1.6896551724137931,0.9722645282745361
26,0,2019/11/19 23:26:15,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.4865216261892411,IVP,Cooled,1.8275862068965516,1.0932788848876953
27,0,2019/11/19 23:26:16,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.47561989544309125,IVP,Cooled,1.9655172413793103,1.1957480907440186
28,0,2019/11/19 23:26:17,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.45962738108828505,IVP,Cooled,2.103448275862069,1.3141956329345703
29,0,2019/11/19 23:26:19,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.43828156545981833,IVP,Cooled,2.2413793103448274,1.4262118339538574
30,0,2019/11/19 23:26:20,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.41255013214368347,IVP,Cooled,2.3793103448275863,1.5725257396697998
31,0,2019/11/19 23:26:22,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.3851948791144398,IVP,Cooled,2.5172413793103448,1.6701254844665527
32,0,2019/11/19 23:26:24,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.3605891941251248,IVP,Cooled,2.655172413793103,1.7718615531921387
33,0,2019/11/19 23:26:26,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.34251517418032357,IVP,Cooled,2.793103448275862,1.8750431537628174
34,0,2019/11/19 23:26:28,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.3307840801236461,IVP,Cooled,2.9310344827586206,1.9853413105010986
35,0,2019/11/19 23:26:30,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.3223026598439389,IVP,Cooled,3.0689655172413794,2.101557731628418
36,0,2019/11/19 23:26:32,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.2882248074847024,0.8005288597992837,0.3154956892830063,IVP,Cooled,3.206896551724138,2.2093632221221924
