,Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,0,2019/11/17 23:03:10,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.648072073158883,IVP,Failed,0.001,0.2577376365661621
1,0,2019/11/17 23:03:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.646396568431632,IVP,Failed,0.26410526315789473,0.7021758556365967
2,0,2019/11/17 23:03:12,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.6395655389851065,IVP,Failed,0.5272105263157895,1.1012485027313232
3,0,2019/11/17 23:03:13,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.619696963598075,IVP,Failed,0.7903157894736842,1.4787285327911377
4,0,2019/11/17 23:03:15,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.559071368107743,IVP,Partially Cooled,1.0534210526315788,1.8538060188293457
5,0,2019/11/17 23:03:17,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.22369751175772,IVP,Partially Cooled,1.3165263157894735,2.263134241104126
6,0,2019/11/17 23:03:20,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.4460768202266262,IVP,Cooled,1.5796315789473683,2.6459779739379883
7,0,2019/11/17 23:03:23,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3838460160286433,IVP,Cooled,1.842736842105263,3.0408716201782227
8,0,2019/11/17 23:03:26,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3670054322964846,IVP,Cooled,2.1058421052631577,3.4245760440826416
9,0,2019/11/17 23:03:30,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.35735378577329585,IVP,Cooled,2.3689473684210527,3.798806667327881
10,0,2019/11/17 23:03:35,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3523237386018693,IVP,Cooled,2.632052631578947,4.2337260246276855
11,0,2019/11/17 23:03:39,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3502310080515998,IVP,Cooled,2.8951578947368417,4.44835901260376
12,0,2019/11/17 23:03:44,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3493809017460695,IVP,Cooled,3.1582631578947367,4.776153087615967
13,0,2019/11/17 23:03:49,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3479567554457315,IVP,Cooled,3.4213684210526316,4.961472749710083
14,0,2019/11/17 23:03:54,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3408066107180402,IVP,Cooled,3.684473684210526,5.3137500286102295
15,0,2019/11/17 23:04:00,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3310462948239407,IVP,Cooled,3.9475789473684206,5.597618103027344
16,0,2019/11/17 23:04:06,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3253576717894951,IVP,Cooled,4.210684210526316,6.236357688903809
17,0,2019/11/17 23:04:12,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.29719449347461663,IVP,Cooled,4.473789473684211,6.270583629608154
18,0,2019/11/17 23:04:19,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.28921375421089657,IVP,Cooled,4.736894736842106,6.395689249038696
19,0,2019/11/17 23:04:25,128,0.2,1,10,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.28873701448032046,IVP,Cooled,5.0,6.566657304763794
20,0,2019/11/17 23:04:25,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.648072074889744,IVP,Failed,0.001,0.19054126739501953
21,0,2019/11/17 23:04:26,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.645754870397016,IVP,Failed,0.26410526315789473,0.59755539894104
22,0,2019/11/17 23:04:27,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.634724304860674,IVP,Failed,0.5272105263157895,0.9135770797729492
23,0,2019/11/17 23:04:28,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.602030586371493,IVP,Failed,0.7903157894736842,1.2196214199066162
24,0,2019/11/17 23:04:30,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.501566676618494,IVP,Partially Cooled,1.0534210526315788,1.5891237258911133
25,0,2019/11/17 23:04:32,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,3.8307050270731065,IVP,Partially Cooled,1.3165263157894735,2.35488224029541
26,0,2019/11/17 23:04:35,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.36355564360201675,IVP,Cooled,1.5796315789473683,2.7522854804992676
27,0,2019/11/17 23:04:38,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3460605173187246,IVP,Cooled,1.842736842105263,3.1399307250976562
28,0,2019/11/17 23:04:42,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.34320463560525205,IVP,Cooled,2.1058421052631577,3.579178810119629
29,0,2019/11/17 23:04:46,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3420613603204612,IVP,Cooled,2.3689473684210527,4.230651617050171
30,0,2019/11/17 23:04:51,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3412981355764333,IVP,Cooled,2.632052631578947,4.692965745925903
31,0,2019/11/17 23:04:55,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.34059920522885284,IVP,Cooled,2.8951578947368417,4.769754886627197
32,0,2019/11/17 23:05:00,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.33971199662022383,IVP,Cooled,3.1582631578947367,5.123462200164795
33,0,2019/11/17 23:05:06,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.33425250036163756,IVP,Cooled,3.4213684210526316,5.4675047397613525
34,0,2019/11/17 23:05:12,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.3223769985664131,IVP,Cooled,3.684473684210526,5.911996603012085
35,0,2019/11/17 23:05:18,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.31354295646459707,IVP,Cooled,3.9475789473684206,6.255998134613037
36,0,2019/11/17 23:05:25,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.30807653605447577,IVP,Cooled,4.210684210526316,6.538321495056152
37,0,2019/11/17 23:05:32,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.2909814661963618,IVP,Cooled,4.473789473684211,6.818793773651123
38,0,2019/11/17 23:05:39,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.2892372278846072,IVP,Cooled,4.736894736842106,7.045400619506836
39,0,2019/11/17 23:05:46,128,0.2,1,20,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,0.28894106692361865,IVP,Cooled,5.0,7.347179412841797
40,0,2019/11/17 23:05:46,128,0.2,1,30,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.648072076703413,IVP,Failed,0.001,0.2338254451751709
41,0,2019/11/17 23:05:47,128,0.2,1,30,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.6451815509116585,IVP,Failed,0.26410526315789473,0.6018621921539307
42,0,2019/11/17 23:05:48,128,0.2,1,30,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.63068857264206,IVP,Failed,0.5272105263157895,1.3437635898590088
43,0,2019/11/17 23:05:50,128,0.2,1,30,0,0,0,-1,HO,Gaussian,GM,0.28822594162350446,4.648275291804772,4.5878157145763145,IVP,Partially Cooled,0.7903157894736842,1.886383056640625
