,Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,0,2019/11/18 08:10:37,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03568992173323765,IVP,Cooled,1,1.3879692554473877
1,0,2019/11/18 08:10:40,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03797384905877281,IVP,Cooled,2,2.8229057788848877
2,0,2019/11/18 08:10:44,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03836208354854681,IVP,Cooled,3,4.051994562149048
3,0,2019/11/18 08:10:50,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03843044433377512,IVP,Cooled,4,5.675790071487427
4,0,2019/11/18 08:10:57,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03844880451892337,IVP,Cooled,5,6.869904518127441
5,0,2019/11/18 08:11:05,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.038464857958716035,IVP,Cooled,6,8.556652784347534
6,0,2019/11/18 08:11:14,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.038492821981160184,IVP,Cooled,7,9.137222528457642
7,0,2019/11/18 08:11:24,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.038544787811264185,IVP,Cooled,8,10.17545223236084
8,0,2019/11/18 08:11:36,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0386319346006022,IVP,Cooled,9,11.284630060195923
9,0,2019/11/18 08:11:49,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03875365169717622,IVP,Cooled,10,12.78651475906372
10,0,2019/11/18 08:12:02,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03891284766085441,IVP,Cooled,11,13.897691011428833
11,0,2019/11/18 08:12:18,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.039130627700119144,IVP,Cooled,12,15.239696264266968
12,0,2019/11/18 08:12:34,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03930256298593443,IVP,Cooled,13,16.423818111419678
13,0,2019/11/18 08:12:52,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03954877449564759,IVP,Cooled,14,17.41907811164856
14,0,2019/11/18 08:13:10,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03974079347398809,IVP,Cooled,15,18.906975030899048
15,0,2019/11/18 08:13:31,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040008995513475094,IVP,Cooled,16,20.08010506629944
16,0,2019/11/18 08:13:52,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040118822565143666,IVP,Cooled,17,21.652940273284912
17,0,2019/11/18 08:14:16,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04041674573932013,IVP,Cooled,18,23.29871892929077
18,0,2019/11/18 08:14:39,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0406042780360872,IVP,Cooled,19,23.93224859237671
19,0,2019/11/18 08:15:05,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04063630517844783,IVP,Cooled,20,25.47110652923584
20,0,2019/11/18 08:15:32,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0407598456471818,IVP,Cooled,21,27.373694896697998
21,0,2019/11/18 08:15:59,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04093644617859608,IVP,Cooled,22,26.73017382621765
22,0,2019/11/18 08:16:27,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04101410063706948,IVP,Cooled,23,27.632503271102905
23,0,2019/11/18 08:16:56,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04103117289532881,IVP,Cooled,24,29.06144404411316
24,0,2019/11/18 08:17:26,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04107046108827093,IVP,Cooled,25,30.58031678199768
25,0,2019/11/18 08:17:28,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03622172564941241,IVP,Cooled,1,1.2810492515563965
26,0,2019/11/18 08:17:30,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03900384778852226,IVP,Cooled,2,2.4012198448181152
27,0,2019/11/18 08:17:34,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03964504966151625,IVP,Cooled,3,3.545370101928711
28,0,2019/11/18 08:17:38,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03979644645423535,IVP,Cooled,4,4.627566814422607
29,0,2019/11/18 08:17:44,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0398340397575789,IVP,Cooled,5,6.079453706741333
30,0,2019/11/18 08:17:52,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.039848772182772225,IVP,Cooled,6,7.333559513092041
31,0,2019/11/18 08:18:00,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03985317266671422,IVP,Cooled,7,8.517682552337646
32,0,2019/11/18 08:18:10,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03987405371673893,IVP,Cooled,8,9.625858545303345
33,0,2019/11/18 08:18:21,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0398989428354238,IVP,Cooled,9,10.848954200744629
34,0,2019/11/18 08:18:33,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03993258889933396,IVP,Cooled,10,11.911163806915283
35,0,2019/11/18 08:18:46,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03998267851660288,IVP,Cooled,11,13.4010591506958
36,0,2019/11/18 08:19:01,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04004727170409314,IVP,Cooled,12,14.573190450668335
37,0,2019/11/18 08:19:16,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040122593183855616,IVP,Cooled,13,15.72033953666687
38,0,2019/11/18 08:19:33,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04019829050627723,IVP,Cooled,14,16.865489721298218
39,0,2019/11/18 08:19:52,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04027907008363984,IVP,Cooled,15,19.241727113723755
40,0,2019/11/18 08:20:13,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04037267676356178,IVP,Cooled,16,20.309936046600342
41,0,2019/11/18 08:20:35,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040463660399406805,IVP,Cooled,17,21.993685722351074
42,0,2019/11/18 08:20:58,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040597462791887945,IVP,Cooled,18,22.883026599884033
43,0,2019/11/18 08:21:22,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04070148959385603,IVP,Cooled,19,24.340943813323975
44,0,2019/11/18 08:21:48,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040746143563288255,IVP,Cooled,20,25.821846961975098
45,0,2019/11/18 08:22:15,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040793257118710326,IVP,Cooled,21,27.57054901123047
46,0,2019/11/18 08:22:43,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040870291036161126,IVP,Cooled,22,28.088165998458862
47,0,2019/11/18 08:23:13,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04093452032410173,IVP,Cooled,23,29.238312482833862
48,0,2019/11/18 08:23:43,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04097310368349271,IVP,Cooled,24,29.92180633544922
49,0,2019/11/18 08:24:14,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.041009440577930635,IVP,Cooled,25,31.508628606796265
50,0,2019/11/18 08:24:15,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03576460183166364,IVP,Cooled,1,1.190117359161377
51,0,2019/11/18 08:24:18,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.038758048193777185,IVP,Cooled,2,2.5201315879821777
52,0,2019/11/18 08:24:23,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.03969149800544623,IVP,Cooled,3,4.6635401248931885
53,0,2019/11/18 08:24:28,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04000505794150622,IVP,Cooled,4,5.014280319213867
54,0,2019/11/18 08:24:34,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04011381018907645,IVP,Cooled,5,6.184413433074951
55,0,2019/11/18 08:24:42,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.0401607195273309,IVP,Cooled,6,8.046026945114136
56,0,2019/11/18 08:24:51,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04017762033936641,IVP,Cooled,7,8.650584697723389
57,0,2019/11/18 08:25:02,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04019147330368268,IVP,Cooled,8,11.236664295196533
58,0,2019/11/18 08:25:16,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04020538386289221,IVP,Cooled,9,14.360347747802734
59,0,2019/11/18 08:25:32,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.040216890756025477,IVP,Cooled,10,15.85024356842041
60,0,2019/11/18 08:25:47,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04023844172718566,IVP,Cooled,11,14.91393780708313
61,0,2019/11/18 08:26:07,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04026704367851751,IVP,Cooled,12,19.878255367279053
62,0,2019/11/18 08:26:25,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04030981407109665,IVP,Cooled,13,18.657161474227905
63,0,2019/11/18 08:26:44,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.041670250285993526,-0.02891288116686827,-0.04034621770277892,IVP,Cooled,14,18.357382774353027
