,Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,0,2019/11/17 19:43:52,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,31.462377782828423,IVP,Failed,0.001,0.2108442783355713
1,0,2019/11/17 19:43:52,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,31.41805678224024,IVP,Failed,0.26410526315789473,0.6165421009063721
2,0,2019/11/17 19:43:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,31.26334164150243,IVP,Failed,0.5272105263157895,0.9522936344146729
3,0,2019/11/17 19:43:55,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,30.904021713636446,IVP,Partially Cooled,0.7903157894736842,1.2330853939056396
4,0,2019/11/17 19:43:56,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,30.09193950068981,IVP,Partially Cooled,1.0534210526315788,1.5568466186523438
5,0,2019/11/17 19:43:58,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,27.95676229091873,IVP,Partially Cooled,1.3165263157894735,2.032492160797119
6,0,2019/11/17 19:44:01,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,12.028567564009494,IVP,Partially Cooled,1.5796315789473683,2.3232762813568115
7,0,2019/11/17 19:44:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,2.532898752987732,IVP,Partially Cooled,1.842736842105263,2.897850275039673
8,0,2019/11/17 19:44:07,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,2.308890676716695,IVP,Partially Cooled,2.1058421052631577,3.570352077484131
9,0,2019/11/17 19:44:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,2.2534938802923716,IVP,Partially Cooled,2.3689473684210527,4.170906066894531
10,0,2019/11/17 19:44:16,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,2.2271677351708266,IVP,Partially Cooled,2.632052631578947,4.647552490234375
11,0,2019/11/17 19:44:21,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723002695,31.464273389640688,2.2027337272122827,IVP,Partially Cooled,2.8951578947368417,5.127198219299316
