,Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,0,2019/11/18 09:40:39,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,27.308656829078522,IVP,Failed,0.001,0.2618072032928467
1,0,2019/11/18 09:40:40,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,27.293984663803098,IVP,Failed,0.26410526315789473,0.6415238380432129
2,0,2019/11/18 09:40:41,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,27.2475835824566,IVP,Failed,0.5272105263157895,1.1481478214263916
3,0,2019/11/18 09:40:43,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,27.142666889593215,IVP,Failed,0.7903157894736842,1.6787548065185547
4,0,2019/11/18 09:40:45,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,26.88795899645659,IVP,Partially Cooled,1.0534210526315788,1.635786771774292
5,0,2019/11/18 09:40:46,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,25.999666036370662,IVP,Partially Cooled,1.3165263157894735,1.838636875152588
6,0,2019/11/18 09:40:49,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,8.68219000254389,IVP,Partially Cooled,1.5796315789473683,2.2203543186187744
7,0,2019/11/18 09:40:52,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,3.5852768937081794,IVP,Partially Cooled,1.842736842105263,2.996777057647705
8,0,2019/11/18 09:40:55,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,3.100232409002789,IVP,Partially Cooled,2.1058421052631577,3.587338924407959
9,0,2019/11/18 09:40:59,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.9622296994874597,IVP,Partially Cooled,2.3689473684210527,4.205880403518677
10,0,2019/11/18 09:41:04,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.905872074844052,IVP,Partially Cooled,2.632052631578947,4.835619926452637
11,0,2019/11/18 09:41:10,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.8645136193542706,IVP,Partially Cooled,2.8951578947368417,5.287076950073242
12,0,2019/11/18 09:41:15,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.7672630575026758,IVP,Partially Cooled,3.1582631578947367,5.8116888999938965
13,0,2019/11/18 09:41:22,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.435185526810297,IVP,Partially Cooled,3.4213684210526316,6.423235177993774
14,0,2019/11/18 09:41:29,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,2.005564480783464,IVP,Partially Cooled,3.684473684210526,6.952842950820923
15,0,2019/11/18 09:41:36,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,1.7297928616461364,IVP,Partially Cooled,3.9475789473684206,7.344552278518677
16,0,2019/11/18 09:41:44,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,1.5362879624715378,IVP,Partially Cooled,4.210684210526316,8.341812372207642
17,0,2019/11/18 09:41:54,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,1.2389942596846666,IVP,Partially Cooled,4.473789473684211,9.254136085510254
18,0,2019/11/18 09:42:03,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,0.5872384331718817,IVP,Cooled,4.736894736842106,9.495957374572754
19,0,2019/11/18 09:42:13,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.4999999999999999,27.3100000000148,0.5388090203454032,IVP,Cooled,5.0,9.766755104064941
