Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/18 13:34:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.79973295,IVP,Failed,0.001,0.17986536
0,2019/11/18 13:34:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.662083938,IVP,Partially Cooled,0.264105263,0.261806011
0,2019/11/18 13:34:54,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.585020574,IVP,Partially Cooled,0.527210526,0.334749937
0,2019/11/18 13:34:54,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.537256701,IVP,Cooled,0.790315789,0.510621309
0,2019/11/18 13:34:55,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.511827496,IVP,Cooled,1.053421053,0.88933897
0,2019/11/18 13:34:56,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.501654553,IVP,Cooled,1.316526316,1.421944618
0,2019/11/18 13:34:58,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.496563906,IVP,Cooled,1.579631579,1.77967906
0,2019/11/18 13:35:00,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.485548694,IVP,Cooled,1.842736842,2.110435247
0,2019/11/18 13:35:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.459301691,IVP,Cooled,2.105842105,2.469168663
0,2019/11/18 13:35:06,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.414585414,IVP,Cooled,2.368947368,2.820907593
0,2019/11/18 13:35:09,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.36432789,IVP,Cooled,2.632052632,3.298551798
0,2019/11/18 13:35:13,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.333405006,IVP,Cooled,2.895157895,3.705251694
0,2019/11/18 13:35:17,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.317739224,IVP,Cooled,3.158263158,4.093963623
0,2019/11/18 13:35:21,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.307255094,IVP,Cooled,3.421368421,4.614576817
0,2019/11/18 13:35:26,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.300044765,IVP,Cooled,3.684473684,4.9613204
0,2019/11/18 13:35:32,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.295261148,IVP,Cooled,3.947578947,5.402991533
0,2019/11/18 13:35:38,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.292408984,IVP,Cooled,4.210684211,5.919608593
0,2019/11/18 13:35:44,128,0.2,1,10,0,0,0,-1,HO,Gaussian,BS,0.288224809,0.80052886,0.291069735,IVP,Cooled,4.473789474,6.263352871
