Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/17 19:43:52,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.46237778,IVP,Failed,0.001,0.210844278
0,2019/11/17 19:43:52,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.41805678,IVP,Failed,0.264105263,0.616542101
0,2019/11/17 19:43:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.26334164,IVP,Failed,0.527210526,0.952293634
0,2019/11/17 19:43:55,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,30.90402171,IVP,Partially Cooled,0.790315789,1.233085394
0,2019/11/17 19:43:56,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,30.0919395,IVP,Partially Cooled,1.053421053,1.556846619
0,2019/11/17 19:43:58,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,27.95676229,IVP,Partially Cooled,1.316526316,2.032492161
0,2019/11/17 19:44:01,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,12.02856756,IVP,Partially Cooled,1.579631579,2.323276281
0,2019/11/17 19:44:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.532898753,IVP,Partially Cooled,1.842736842,2.897850275
0,2019/11/17 19:44:07,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.308890677,IVP,Partially Cooled,2.105842105,3.570352077
0,2019/11/17 19:44:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.25349388,IVP,Partially Cooled,2.368947368,4.170906067
0,2019/11/17 19:44:16,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.227167735,IVP,Partially Cooled,2.632052632,4.64755249
0,2019/11/17 19:44:21,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.202733727,IVP,Partially Cooled,2.895157895,5.127198219
0,2019/11/17 19:44:27,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.155836723,IVP,Partially Cooled,3.158263158,5.516907692
0,2019/11/17 19:44:33,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,2.009162766,IVP,Partially Cooled,3.421368421,6.382265091
0,2019/11/17 19:44:40,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.616294327,IVP,Partially Cooled,3.684473684,6.940850735
0,2019/11/17 19:44:47,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.21727778,IVP,Partially Cooled,3.947578947,7.538408518
0,2019/11/17 19:44:56,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.019013383,IVP,Partially Cooled,4.210684211,8.626601696
0,2019/11/17 19:45:05,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,0.84811879,IVP,Partially Cooled,4.473789474,8.694551468
0,2019/11/17 19:45:14,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,0.460048278,IVP,Cooled,4.736894737,9.087258339
0,2019/11/17 19:45:23,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,0.419112111,IVP,Cooled,5,9.478969336
0,2019/11/17 19:45:24,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.46237831,IVP,Failed,0.001,0.227830648
0,2019/11/17 19:45:24,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.38854756,IVP,Failed,0.264105263,0.632531166
0,2019/11/17 19:45:25,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,31.13950607,IVP,Partially Cooled,0.527210526,0.977274895
0,2019/11/17 19:45:26,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,30.58265259,IVP,Partially Cooled,0.790315789,1.30203414
0,2019/11/17 19:45:28,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,29.38868066,IVP,Partially Cooled,1.053421053,1.604809761
0,2019/11/17 19:45:30,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,26.37059187,IVP,Partially Cooled,1.316526316,2.022500992
0,2019/11/17 19:45:33,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,9.487535851,IVP,Partially Cooled,1.579631579,2.52712512
0,2019/11/17 19:45:36,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.672503648,IVP,Partially Cooled,1.842736842,3.193630934
0,2019/11/17 19:45:39,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.542040088,IVP,Partially Cooled,2.105842105,3.62631011
0,2019/11/17 19:45:44,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.496199123,IVP,Partially Cooled,2.368947368,4.160913467
0,2019/11/17 19:45:49,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.288217723,31.46427339,1.462777405,IVP,Partially Cooled,2.632052632,4.981306314
