Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/17 23:56:45,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.00082055,IVP,Failed,1,0.436676025
0,2019/11/17 23:56:45,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000806087,IVP,Partially Cooled,2,0.419817686
0,2019/11/17 23:56:46,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000769604,IVP,Partially Cooled,3,0.364728451
0,2019/11/17 23:56:46,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000704334,IVP,Partially Cooled,4,0.449666739
0,2019/11/17 23:56:47,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000607962,IVP,Partially Cooled,5,0.385248423
0,2019/11/17 23:56:47,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000484817,IVP,Partially Cooled,6,0.46065855
0,2019/11/17 23:56:47,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000346352,IVP,Partially Cooled,7,0.467745781
0,2019/11/17 23:56:48,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,0.000208865,IVP,Partially Cooled,8,0.482465506
0,2019/11/17 23:56:48,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,8.84637E-05,IVP,Partially Cooled,9,0.503626585
0,2019/11/17 23:56:49,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,-4.19241E-06,IVP,Cooled,10,0.535147667
0,2019/11/17 23:56:49,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,-6.57706E-05,IVP,Cooled,11,0.513328075
0,2019/11/17 23:56:50,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,-9.9414E-05,IVP,Cooled,12,0.584566116
0,2019/11/17 23:56:51,128,0.2,1,10,0,0,0,-1,V0,Gaussian,ST,-0.001262409,0.000822767,-0.000112646,IVP,Cooled,13,0.553644657
