Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/18 13:11:13,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.999203914,IVP,Cooled,0.001,0.196833611
0,2019/11/18 13:11:14,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.864946052,IVP,Cooled,0.264105263,0.312000275
0,2019/11/18 13:11:14,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.797449333,IVP,Cooled,0.527210526,0.393989325
0,2019/11/18 13:11:15,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.758695177,IVP,Cooled,0.790315789,0.585402012
0,2019/11/18 13:11:16,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.738114503,IVP,Cooled,1.053421053,1.050804138
0,2019/11/18 13:11:17,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.729522398,IVP,Cooled,1.316526316,1.514848232
0,2019/11/18 13:11:19,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.725965154,IVP,Cooled,1.579631579,1.959086657
0,2019/11/18 13:11:22,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.719596686,IVP,Cooled,1.842736842,2.284124374
0,2019/11/18 13:11:24,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.702429046,IVP,Cooled,2.105842105,2.660818338
0,2019/11/18 13:11:28,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.667850562,IVP,Cooled,2.368947368,3.166774273
0,2019/11/18 13:11:31,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.617718631,IVP,Cooled,2.632052632,3.753299475
0,2019/11/18 13:11:35,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.573674843,IVP,Cooled,2.895157895,4.160977364
0,2019/11/18 13:11:40,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.548548098,IVP,Cooled,3.158263158,4.478806734
0,2019/11/18 13:11:45,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.533773851,IVP,Cooled,3.421368421,4.980100393
0,2019/11/18 13:11:50,128,0.2,1,10,0,0,0,0,HO,Gaussian,BS,0.5,1,0.524901126,IVP,Cooled,3.684473684,5.463039875
