Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/17 22:39:58,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.991938605,IVP,Failed,0.001,0.205498695
0,2019/11/17 22:39:59,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.990712516,IVP,Failed,0.264105263,0.577406168
0,2019/11/17 22:40:00,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.980938911,IVP,Failed,0.527210526,1.107897997
0,2019/11/17 22:40:02,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.945837838,IVP,Partially Cooled,0.790315789,1.5238626
0,2019/11/17 22:40:04,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.833651175,IVP,Partially Cooled,1.053421053,2.051061153
0,2019/11/17 22:40:06,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.4161122,IVP,Partially Cooled,1.316526316,2.528143883
0,2019/11/17 22:40:09,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.654084249,IVP,Cooled,1.579631579,2.989157915
0,2019/11/17 22:40:13,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.621823879,IVP,Cooled,1.842736842,3.524535418
0,2019/11/17 22:40:17,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.582375892,IVP,Cooled,2.105842105,4.123399258
0,2019/11/17 22:40:21,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.552385609,IVP,Cooled,2.368947368,4.567421198
0,2019/11/17 22:40:27,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.535667924,IVP,Cooled,2.632052632,5.107465982
0,2019/11/17 22:40:32,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.52818159,IVP,Cooled,2.895157895,5.588916779
0,2019/11/17 22:40:38,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.525751276,IVP,Cooled,3.158263158,6.131874084
0,2019/11/17 22:40:45,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.525007392,IVP,Cooled,3.421368421,6.55023241
0,2019/11/17 22:40:52,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.523147986,IVP,Cooled,3.684473684,6.998517275
0,2019/11/17 22:40:59,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.51795089,IVP,Cooled,3.947578947,7.423440695
0,2019/11/17 22:41:07,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.509524265,IVP,Cooled,4.210684211,8.015212536
0,2019/11/17 22:41:16,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.503438835,IVP,Cooled,4.473789474,8.477821589
0,2019/11/17 22:41:25,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.502698446,IVP,Cooled,4.736894737,8.995234966
0,2019/11/17 22:41:34,128,0.2,1,10,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.502236428,IVP,Cooled,5,9.588628292
0,2019/11/17 22:41:35,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.991938607,IVP,Failed,0.001,0.234037161
0,2019/11/17 22:41:35,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.98955055,IVP,Failed,0.264105263,0.608169794
0,2019/11/17 22:41:36,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.971465283,IVP,Partially Cooled,0.527210526,1.067413092
0,2019/11/17 22:41:38,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.910135631,IVP,Partially Cooled,0.790315789,1.556213856
0,2019/11/17 22:41:40,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.727215356,IVP,Partially Cooled,1.053421053,2.07033515
0,2019/11/17 22:41:43,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.103903938,IVP,Partially Cooled,1.316526316,2.73763442
0,2019/11/17 22:41:46,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.538624843,IVP,Cooled,1.579631579,3.163074255
0,2019/11/17 22:41:50,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.519479139,IVP,Cooled,1.842736842,3.65776515
0,2019/11/17 22:41:54,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.513528159,IVP,Cooled,2.105842105,4.122908354
0,2019/11/17 22:41:58,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.508983561,IVP,Cooled,2.368947368,4.641192198
0,2019/11/17 22:42:03,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.505893742,IVP,Cooled,2.632052632,5.105537891
0,2019/11/17 22:42:09,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.504184361,IVP,Cooled,2.895157895,5.563093901
0,2019/11/17 22:42:15,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.503381533,IVP,Cooled,3.158263158,6.068039894
0,2019/11/17 22:42:22,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.502871678,IVP,Cooled,3.421368421,6.550975084
0,2019/11/17 22:42:29,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.502204752,IVP,Cooled,3.684473684,7.050193787
0,2019/11/17 22:42:36,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.501306915,IVP,Cooled,3.947578947,7.566922665
0,2019/11/17 22:42:44,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.500585348,IVP,Cooled,4.210684211,8.072632074
0,2019/11/17 22:42:53,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.500263594,IVP,Cooled,4.473789474,8.551721573
0,2019/11/17 22:43:02,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.500147213,IVP,Cooled,4.736894737,8.904987574
0,2019/11/17 22:43:11,128,0.2,1,20,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.500095506,IVP,Cooled,5,9.390408516
0,2019/11/17 22:43:12,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.99193861,IVP,Failed,0.001,0.22794199
0,2019/11/17 22:43:12,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.988465979,IVP,Failed,0.264105263,0.585902452
0,2019/11/17 22:43:13,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.963191089,IVP,Partially Cooled,0.527210526,1.048768759
0,2019/11/17 22:43:15,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.881141169,IVP,Partially Cooled,0.790315789,1.533513546
0,2019/11/17 22:43:17,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,1.646158732,IVP,Partially Cooled,1.053421053,2.18422389
0,2019/11/17 22:43:20,128,0.2,1,30,0,0,0,0,HO,Gaussian,GM,0.5,1.991967025,0.901185795,IVP,Cooled,1.316526316,2.725313663
