Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/18 09:40:39,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.30865683,IVP,Failed,0.001,0.261807203
0,2019/11/18 09:40:40,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.29398466,IVP,Failed,0.264105263,0.641523838
0,2019/11/18 09:40:41,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.24758358,IVP,Failed,0.527210526,1.148147821
0,2019/11/18 09:40:43,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.14266689,IVP,Failed,0.790315789,1.678754807
0,2019/11/18 09:40:45,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,26.887959,IVP,Partially Cooled,1.053421053,1.635786772
0,2019/11/18 09:40:46,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,25.99966604,IVP,Partially Cooled,1.316526316,1.838636875
0,2019/11/18 09:40:49,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,8.682190003,IVP,Partially Cooled,1.579631579,2.220354319
0,2019/11/18 09:40:52,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,3.585276894,IVP,Partially Cooled,1.842736842,2.996777058
0,2019/11/18 09:40:55,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,3.100232409,IVP,Partially Cooled,2.105842105,3.587338924
0,2019/11/18 09:40:59,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.962229699,IVP,Partially Cooled,2.368947368,4.205880404
0,2019/11/18 09:41:04,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.905872075,IVP,Partially Cooled,2.632052632,4.835619926
0,2019/11/18 09:41:10,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.864513619,IVP,Partially Cooled,2.895157895,5.28707695
0,2019/11/18 09:41:15,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.767263058,IVP,Partially Cooled,3.158263158,5.8116889
0,2019/11/18 09:41:22,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.435185527,IVP,Partially Cooled,3.421368421,6.423235178
0,2019/11/18 09:41:29,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,2.005564481,IVP,Partially Cooled,3.684473684,6.952842951
0,2019/11/18 09:41:36,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,1.729792862,IVP,Partially Cooled,3.947578947,7.344552279
0,2019/11/18 09:41:44,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,1.536287962,IVP,Partially Cooled,4.210684211,8.341812372
0,2019/11/18 09:41:54,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,1.23899426,IVP,Partially Cooled,4.473789474,9.254136086
0,2019/11/18 09:42:03,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,0.587238433,IVP,Cooled,4.736894737,9.495957375
0,2019/11/18 09:42:13,128,0.2,1,10,0,0,0,0,HO,Gaussian,UN,0.5,27.31,0.53880902,IVP,Cooled,5,9.766755104
0,2019/11/18 09:42:13,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.30865691,IVP,Failed,0.001,0.249814987
0,2019/11/18 09:42:14,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.2854797,IVP,Failed,0.264105263,0.646519661
0,2019/11/18 09:42:15,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.21199437,IVP,Failed,0.527210526,1.067208052
0,2019/11/18 09:42:16,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,27.04612483,IVP,Failed,0.790315789,1.433931828
0,2019/11/18 09:42:18,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,26.64706741,IVP,Partially Cooled,1.053421053,1.831642151
0,2019/11/18 09:42:21,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,25.28424165,IVP,Partially Cooled,1.316526316,2.289301634
0,2019/11/18 09:42:23,128,0.2,1,20,0,0,0,0,HO,Gaussian,UN,0.5,27.31,7.29433895,IVP,Partially Cooled,1.579631579,2.790929317
