Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/18 19:19:24,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,30.42225055,IVP,Partially Cooled,1,1.348264217
0,2019/11/18 19:19:26,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,28.84275784,IVP,Partially Cooled,1.263157895,1.630996466
0,2019/11/18 19:19:29,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,20.94207204,IVP,Partially Cooled,1.526315789,3.320385218
0,2019/11/18 19:19:31,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.980653707,IVP,Partially Cooled,1.789473684,2.374373436
0,2019/11/18 19:19:34,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.626687923,IVP,Partially Cooled,2.052631579,2.933867216
0,2019/11/18 19:19:38,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.520588921,IVP,Partially Cooled,2.315789474,3.557946444
0,2019/11/18 19:19:43,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.475477804,IVP,Partially Cooled,2.578947368,4.874071598
0,2019/11/18 19:19:47,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.445642127,IVP,Partially Cooled,2.842105263,4.533053875
0,2019/11/18 19:19:52,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.407146256,IVP,Partially Cooled,3.105263158,5.022922993
0,2019/11/18 19:20:01,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,2.264200786,IVP,Partially Cooled,3.368421053,8.414840221
0,2019/11/18 19:20:10,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,1.822215229,IVP,Partially Cooled,3.631578947,9.147097111
0,2019/11/18 19:20:19,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,1.423934419,IVP,Partially Cooled,3.894736842,9.100861549
0,2019/11/18 19:20:29,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,1.243084514,IVP,Cooled,4.157894737,10.01148367
0,2019/11/18 19:20:39,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,1.124856492,IVP,Cooled,4.421052632,10.42250681
0,2019/11/18 19:20:50,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.807126548,IVP,Cooled,4.684210526,10.55322981
0,2019/11/18 19:21:01,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.762602407,IVP,Cooled,4.947368421,11.56196642
0,2019/11/18 19:21:13,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.742183852,IVP,Cooled,5.210526316,11.93433857
0,2019/11/18 19:21:26,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.726925774,IVP,Cooled,5.473684211,12.50279975
0,2019/11/18 19:21:39,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.719509667,IVP,Cooled,5.736842105,13.20974517
0,2019/11/18 19:21:53,128,0.2,1,10,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,0.715727442,IVP,Cooled,6,14.24400711
0,2019/11/18 19:21:55,128,0.2,1,20,0,0,0,1,HO,Gaussian,ST,0.689426352,31.52286714,29.82610868,IVP,Partially Cooled,1,1.866059303
