Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,Ground State,Init State,E0,Ei,Ef,Evolver,Cooling Effect,Physical Time,Wall Time
0,2019/11/14 22:19:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,62.8664538,IVP,Failed,0.001,0.214072943
0,2019/11/14 22:19:53,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,62.77832666,IVP,Failed,0.264105263,0.619035482
0,2019/11/14 22:19:54,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,62.4687134,IVP,Failed,0.527210526,0.964250565
0,2019/11/14 22:19:55,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,61.73961848,IVP,Partially Cooled,0.790315789,1.300457001
0,2019/11/14 22:19:57,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,60.06872174,IVP,Partially Cooled,1.053421053,1.59032011
0,2019/11/14 22:19:59,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,55.62115737,IVP,Partially Cooled,1.316526316,2.092203617
0,2019/11/14 22:20:01,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,24.01362742,IVP,Partially Cooled,1.579631579,2.309835434
0,2019/11/14 22:20:04,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,4.624172931,IVP,Partially Cooled,1.842736842,2.769390821
0,2019/11/14 22:20:07,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,4.226906305,IVP,Partially Cooled,2.105842105,3.192631245
0,2019/11/14 22:20:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,4.144711119,IVP,Partially Cooled,2.368947368,3.722238064
0,2019/11/14 22:20:15,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,4.106332044,IVP,Partially Cooled,2.632052632,4.045998096
0,2019/11/14 22:20:20,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,4.061764923,IVP,Partially Cooled,2.895157895,4.644554853
0,2019/11/14 22:20:25,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,3.967547012,IVP,Partially Cooled,3.158263158,5.140187979
0,2019/11/14 22:20:31,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,3.698827077,IVP,Partially Cooled,3.421368421,5.882635117
0,2019/11/14 22:20:38,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,3.012420789,IVP,Partially Cooled,3.684473684,6.892886639
0,2019/11/14 22:20:46,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,2.220000339,IVP,Partially Cooled,3.947578947,8.070135832
0,2019/11/14 22:20:54,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,1.793232659,IVP,Partially Cooled,4.210684211,7.923121929
0,2019/11/14 22:21:03,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,1.474501624,IVP,Partially Cooled,4.473789474,8.530672312
0,2019/11/14 22:21:11,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,0.517990539,IVP,Partially Cooled,4.736894737,8.490701437
0,2019/11/14 22:21:20,128,0.2,1,10,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,0.422820201,IVP,Partially Cooled,5,8.825246096
0,2019/11/14 22:21:20,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,62.8664553,IVP,Failed,0.001,0.201742887
0,2019/11/14 22:21:21,128,0.2,1,20,0,0,0,-1,HO,Gaussian,ST,0.09159176,62.86995303,62.71993063,IVP,Failed,0.264105263,0.522902727
